Year,State,District,Rice_Area_1000ha,Rice_Prod_1000t,Rice_Yield,Wheat_Area_1000ha,Wheat_Prod_1000t,Wheat_Yield,Sorghum_Prod_1000t,Sorghum_Kharif_Prod_1000t,Sorghum_Rabi_Prod_1000t,PearlMillet_Prod_1000t,FingerMillet_Prod_1000t,Maize_Area_1000ha,Maize_Prod_1000t,Maize_Yield,Groundnut_Prod_1000t,Sesamum_Prod_1000t,RapeseedMustard_Prod_1000t,Safflower_Prod_1000t,Castor_Prod_1000t,Linseed_Prod_1000t,Sunflower_Prod_1000t,Soybean_Prod_1000t,Soybean_Yield,Oilseed_Prod_1000t,Oilseed_Yield,Sugarcane_Prod_1000t,Cotton_Prod_1000t
1966,Chhattisgarh,Durg,548.0,185.0,337.59,44.0,20.0,454.55,0.4,0.4,0.0,0.0,0.2,3.0,2.0,666.67,0.1,0.3,0.2,0.0,0.2,6.8,0.0,0.0,0.0,-1.0,-1.0,1.6,0.0
1967,Chhattisgarh,Durg,547.0,409.0,747.71,50.0,26.0,520.0,0.9,0.9,0.0,0.0,0.2,3.0,3.0,1000.0,0.1,0.9,0.3,0.0,0.1,25.8,0.0,0.0,0.0,-1.0,-1.0,1.2,0.0
1968,Chhattisgarh,Durg,556.3,468.0,841.27,53.7,30.0,558.66,0.4,0.4,0.0,0.0,0.2,2.8,2.0,714.29,0.1,1.6,0.5,0.0,0.3,23.8,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0
1969,Chhattisgarh,Durg,563.4,400.8,711.4,49.4,26.5,536.44,0.6,0.6,0.0,0.0,0.2,2.7,2.3,851.85,0.1,1.4,0.4,0.0,0.1,13.0,0.0,0.0,0.0,14.9,130.54,1.9,0.0
1970,Chhattisgarh,Durg,571.6,473.6,828.55,44.2,29.0,656.11,0.6,0.6,0.0,0.0,0.2,2.5,3.3,1320.0,0.1,1.1,0.4,0.0,0.1,22.7,0.0,0.0,0.0,24.3,192.25,1.4,0.0
1971,Chhattisgarh,Durg,581.8,412.9,709.69,44.4,25.8,581.08,0.2,0.2,0.0,0.0,0.2,2.7,3.1,1148.15,0.0,1.0,0.4,0.0,0.1,18.5,0.0,0.0,0.0,20.2,162.64,1.0,0.0
1972,Chhattisgarh,Durg,582.2,381.0,654.41,39.6,20.6,520.2,0.3,0.3,0.0,0.0,0.1,2.8,3.2,1142.86,0.0,1.9,0.7,0.0,0.1,22.7,0.0,0.0,0.0,25.4,205.17,1.0,0.0
1973,Chhattisgarh,Durg,600.0,471.9,786.5,37.3,18.6,498.66,0.2,0.2,0.0,0.0,0.2,2.9,2.7,931.03,0.0,1.3,0.7,0.0,0.1,28.0,0.0,0.0,0.0,30.3,232.72,1.2,0.0
1974,Chhattisgarh,Durg,587.4,219.0,372.83,36.5,22.4,613.7,0.4,0.4,0.0,0.0,0.3,2.9,2.9,1000.0,0.0,1.4,0.8,0.0,0.1,21.4,0.0,0.0,0.0,23.9,246.9,1.5,0.0
1975,Chhattisgarh,Durg,598.3,454.0,758.82,49.2,27.8,565.04,0.2,0.2,0.0,0.0,0.2,2.9,2.9,1000.0,0.0,0.9,0.9,0.0,0.1,28.7,0.0,0.0,0.0,30.8,234.22,1.4,0.0
1976,Chhattisgarh,Durg,593.6,327.1,551.04,46.9,10.0,213.22,0.1,0.1,0.0,0.0,0.2,3.0,2.0,666.67,0.0,0.4,0.1,0.0,0.1,6.5,0.0,0.0,0.0,7.1,67.17,0.8,0.0
1977,Chhattisgarh,Durg,600.7,572.4,952.89,53.1,27.1,510.36,0.1,0.1,0.0,0.0,0.2,3.4,2.8,823.53,0.0,1.0,0.3,0.0,0.1,23.2,0.0,0.0,0.0,24.5,190.51,0.3,0.0
1978,Chhattisgarh,Durg,612.5,362.2,591.35,48.7,25.6,525.67,0.1,0.1,0.0,0.0,0.2,3.4,2.9,852.94,0.1,0.5,0.5,0.0,0.1,13.4,0.0,0.0,0.0,17.5,120.19,0.2,0.0
1979,Chhattisgarh,Durg,616.8,330.6,535.99,44.6,17.8,399.1,0.5,0.5,0.0,0.0,0.2,3.0,3.6,1200.0,0.2,0.6,0.3,0.0,0.0,5.3,0.0,0.0,0.0,5.4,52.53,0.1,0.0
1980,Chhattisgarh,Durg,634.9,515.6,812.1,44.1,33.6,761.9,0.2,0.2,0.0,0.0,0.2,3.0,2.8,933.33,0.2,0.9,0.7,0.1,0.1,17.2,0.0,0.0,0.0,19.8,174.6,0.1,0.0
1981,Chhattisgarh,Durg,630.0,506.9,804.6,41.5,23.6,568.67,0.2,0.2,0.0,0.0,0.2,3.0,3.0,1000.0,0.1,1.0,0.9,0.1,0.1,12.1,0.0,0.0,0.0,15.8,134.93,0.1,0.0
1982,Chhattisgarh,Durg,627.9,513.3,817.49,41.1,23.9,581.51,0.1,0.1,0.0,0.0,0.2,3.0,3.1,1033.33,0.1,0.9,0.7,0.1,0.0,12.3,0.0,0.7,583.33,15.9,134.86,0.2,0.0
1983,Chhattisgarh,Durg,626.7,711.0,1134.51,39.9,20.6,516.29,0.1,0.1,0.0,0.0,0.2,3.0,3.7,1233.33,0.1,1.0,0.9,0.1,0.0,18.1,0.0,1.2,545.45,22.4,186.98,0.3,0.0
1984,Chhattisgarh,Durg,632.2,563.8,891.81,40.5,19.9,491.36,0.3,0.3,0.0,0.0,0.2,3.6,4.1,1138.89,0.2,0.9,1.0,0.1,0.0,13.3,0.0,1.3,619.05,18.1,150.46,0.5,0.0
1985,Chhattisgarh,Durg,630.8,699.8,1109.38,39.4,21.0,532.99,0.2,0.2,0.0,0.0,0.1,3.8,3.0,789.47,0.3,1.1,0.7,0.1,0.0,15.6,0.0,0.7,636.36,19.0,157.94,0.3,0.0
1986,Chhattisgarh,Durg,643.0,525.0,816.49,37.0,24.0,648.65,0.1,0.1,0.0,0.0,0.1,4.0,3.0,750.0,1.0,0.5,0.7,0.1,0.0,16.7,0.0,0.4,500.0,18.6,190.18,0.5,0.0
1987,Chhattisgarh,Durg,648.0,523.0,807.1,43.0,23.0,534.88,0.2,0.2,0.0,0.0,0.1,4.0,3.0,750.0,1.0,1.1,1.2,0.1,0.0,12.2,0.0,0.3,600.0,22.4,240.34,0.3,0.0
1988,Chhattisgarh,Durg,652.7,549.7,842.19,43.7,20.2,462.24,0.1,0.1,0.0,0.0,0.1,3.8,4.0,1052.63,1.3,1.4,1.4,0.1,0.0,9.6,0.0,0.6,857.14,15.0,174.22,0.5,0.0
1989,Chhattisgarh,Durg,660.2,457.3,692.67,43.8,22.7,518.26,0.1,0.1,0.0,0.0,0.1,3.7,4.8,1297.3,2.8,1.3,1.4,0.0,0.0,11.1,0.0,0.5,714.29,17.0,228.49,0.7,0.0
1990,Chhattisgarh,Durg,682.9,806.8,1181.43,36.2,24.8,685.08,0.4,0.4,0.0,0.0,0.0,4.0,3.8,950.0,2.9,1.2,1.58,0.0,0.0,12.3,0.0,1.58,778.33,19.6,233.33,0.1,0.0
1991,Chhattisgarh,Durg,680.8,773.6,1136.31,34.8,21.6,620.69,1.8,1.8,0.0,0.0,0.0,3.8,3.5,921.05,2.7,0.5,1.17,0.1,0.0,18.3,0.03,3.17,657.68,26.0,300.93,0.9,0.0
1992,Chhattisgarh,Durg,688.0,777.3,1129.8,56.1,20.5,365.42,1.0,1.0,0.0,0.0,0.0,4.4,6.0,1363.64,2.3,0.4,1.9,0.1,0.0,16.6,0.02,6.72,705.88,28.2,310.57,0.6,0.0
1993,Chhattisgarh,Durg,703.6,876.7,1246.02,33.8,23.8,704.14,3.6,0.2,3.4,0.01,0.0,3.8,4.2,1105.26,2.6,0.6,1.58,0.1,0.0,17.8,0.07,25.64,887.81,48.4,389.69,0.8,0.0
1994,Chhattisgarh,Durg,726.8,967.9,1331.73,36.5,29.4,805.48,0.2,0.2,0.0,0.0,0.0,4.8,4.3,895.83,1.2,0.4,1.8,0.1,0.0,23.0,0.08,13.4,792.9,40.0,341.88,0.7,0.0
1995,Chhattisgarh,Durg,723.3,1052.0,1454.44,37.1,26.5,714.29,0.1,0.1,0.0,0.0,0.0,4.2,5.6,1333.33,1.0,0.8,1.3,0.2,0.0,15.3,0.1,21.1,864.75,40.0,328.14,0.8,0.0
1996,Chhattisgarh,Durg,710.9,917.2,1290.2,36.2,29.1,803.87,0.2,0.2,0.0,0.3,0.0,3.2,4.1,1281.25,0.8,0.7,1.2,0.2,0.0,22.6,0.1,31.0,688.89,57.6,422.6,1.1,0.0
1997,Chhattisgarh,Durg,735.7,837.5,1138.37,35.6,18.3,514.04,0.1,0.1,0.0,0.0,0.0,3.5,3.2,914.29,1.4,0.4,1.0,0.1,0.0,10.5,0.1,48.9,793.83,62.4,417.56,0.9,0.0
1998,Chhattisgarh,Durg,786.51,684.62,870.45,39.96,24.84,621.62,0.27,0.27,0.0,0.0,0.0,5.61,5.68,1012.65,1.38,0.81,2.05,0.1,0.0,16.78,0.0,26.09,465.2,47.57,313.25,2.27,0.0
1999,Chhattisgarh,Durg,769.79,963.04,1251.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,3.81,4.98,1307.44,1.38,0.85,0.89,0.06,0.0,16.11,0.64,10.24,703.61,35.93,332.25,3.43,0.0
2000,Chhattisgarh,Durg,748.76,467.89,624.89,29.9,17.59,588.19,0.23,0.23,0.0,0.02,0.07,3.94,3.12,792.52,1.15,0.51,0.65,0.02,0.01,9.05,0.26,5.7,549.69,17.34,280.03,0.17,0.0
2001,Chhattisgarh,Durg,756.26,978.69,1294.13,34.33,24.11,702.43,0.25,0.25,0.0,0.0,0.06,3.9,2.62,672.21,1.71,0.7,0.84,0.04,0.02,13.03,0.51,6.01,728.76,22.84,333.41,0.21,0.0
2002,Chhattisgarh,Durg,753.41,484.9,643.6,33.25,25.09,754.44,0.21,0.21,0.0,0.0,0.05,3.71,4.76,1284.3,1.67,1.0,0.85,0.04,0.0,11.09,0.53,6.91,536.3,22.07,359.97,0.29,0.01
2003,Chhattisgarh,Durg,766.58,1145.82,1494.73,37.99,29.58,778.78,0.15,0.15,0.0,0.0,0.08,3.4,3.35,983.49,1.33,1.06,1.11,0.08,0.0,12.17,0.92,15.27,859.5,22.11,359.67,0.41,0.05
2004,Chhattisgarh,Durg,775.99,984.31,1268.46,36.43,23.19,636.48,0.11,0.11,0.0,0.0,0.09,3.26,3.87,1186.04,1.08,0.74,1.22,0.08,0.02,8.29,0.97,25.72,938.76,31.95,475.24,0.65,0.21
2005,Chhattisgarh,Durg,775.99,984.31,1268.46,36.43,23.19,636.48,0.11,0.11,0.0,0.0,0.09,3.26,3.87,1186.04,1.08,0.74,1.22,0.08,0.02,8.29,0.97,25.72,938.76,38.16,517.97,0.65,0.0
2006,Chhattisgarh,Durg,781.7,1177.1,1505.81,36.81,26.62,723.16,0.15,0.15,0.0,0.0,0.04,5.28,5.03,953.14,1.04,1.04,1.26,0.08,0.01,9.28,1.25,35.86,889.29,49.86,566.49,0.72,0.05
2007,Chhattisgarh,Durg,799.89,1095.84,1369.98,37.32,34.38,921.03,0.17,0.03,0.0,0.0,0.05,3.3,3.82,1157.23,0.87,0.65,1.22,0.05,0.04,8.44,0.74,71.13,1149.7,82.96,859.2,1.21,0.01
2008,Chhattisgarh,Durg,803.37,704.09,876.42,36.46,31.19,855.47,0.26,0.07,0.0,0.0,0.06,3.4,3.35,984.92,0.72,0.44,1.23,0.06,0.0,4.59,0.22,66.01,941.19,73.18,772.2,0.84,0.01
2009,Chhattisgarh,Durg,789.04,622.05,788.37,42.44,38.12,898.09,0.22,0.07,0.0,0.0,0.04,3.25,3.4,1045.97,1.02,0.74,1.58,0.07,0.0,4.24,0.3,64.92,898.97,72.74,767.05,1.65,0.0
2010,Chhattisgarh,Durg,777.92,1319.18,1695.77,46.12,45.87,994.69,0.32,0.32,0.0,2.41,0.0,3.17,4.63,1457.32,0.96,0.57,2.17,0.1,0.0,3.14,0.29,105.41,1148.66,112.83,986.66,1.13,0.0
2011,Chhattisgarh,Durg,806.55,1416.48,1756.23,44.98,50.19,1115.68,0.2,0.2,0.0,0.0,0.04,3.63,4.67,1285.56,0.84,0.55,1.61,0.03,0.0,4.96,0.15,69.83,802.03,78.18,735.8,2.06,0.02
2012,Chhattisgarh,Durg,807.07,1534.22,1900.97,43.87,47.69,1087.1,0.49,0.49,0.0,0.0,0.05,3.12,4.8,1538.56,0.72,0.47,1.64,0.09,0.02,4.76,0.14,101.62,1194.76,109.66,1051.69,1.26,0.02
2013,Chhattisgarh,Durg,819.44,1296.24,1581.86,41.54,43.33,1043.06,0.17,0.0,0.0,0.07,0.04,3.64,6.34,1742.2,0.9,0.37,1.68,0.05,0.0,3.38,0.11,92.65,1003.99,99.31,917.64,0.93,0.01
2014,Chhattisgarh,Durg,834.87,1444.24,1729.89,44.25,50.96,1151.49,0.18,0.0,0.0,0.04,0.03,4.02,5.84,1451.66,0.7,0.53,1.76,0.05,0.0,3.04,0.1,39.93,465.22,46.2,462.3,3.46,0.02
2015,Chhattisgarh,Durg,817.68,880.6,1076.95,48.72,54.6,1120.74,0.19,0.0,0.0,0.0,0.01,9.87,14.47,1467.17,0.75,0.87,2.41,0.12,0.0,2.34,0.04,49.1,500.02,37.19,326.61,2.57,0.01
2016,Chhattisgarh,Durg,858.91,1791.66,2085.96,48.94,61.84,1263.55,0.13,0.0,0.0,0.0,0.01,7.95,16.12,2028.48,0.7,0.78,1.89,0.03,0.0,0.0,0.0,60.69,742.71,0.0,0.0,7.21,0.02
2017,Chhattisgarh,Durg,841.13,983.21,1168.92,43.5,50.19,1153.77,0.14,0.0,0.0,0.0,0.0,9.25,18.09,1956.03,0.77,0.49,2.0,0.12,0.0,1.16,0.0,25.02,323.3,0.0,0.0,3.59,0.13
1966,Chhattisgarh,Bastar,406.0,261.0,642.86,2.0,1.0,500.0,4.2,4.2,0.0,0.0,2.3,23.0,31.0,1347.83,0.0,0.2,4.1,0.0,0.0,0.2,0.0,0.0,0.0,-1.0,-1.0,2.4,0.0
1967,Chhattisgarh,Bastar,414.0,319.0,770.53,2.0,1.0,500.0,4.6,4.6,0.0,0.0,2.7,24.0,34.0,1416.67,0.0,0.2,4.3,0.0,0.0,0.6,0.0,0.0,0.0,-1.0,-1.0,2.8,0.0
1968,Chhattisgarh,Bastar,423.2,294.0,694.71,2.3,1.0,434.78,5.3,5.3,0.0,0.0,2.9,24.7,24.0,971.66,0.0,0.5,6.2,0.0,0.0,0.5,0.0,0.0,0.0,-1.0,-1.0,3.7,0.0
1969,Chhattisgarh,Bastar,429.1,329.0,766.72,2.3,1.5,652.17,4.8,4.8,0.0,0.0,2.8,25.1,25.0,996.02,0.0,0.4,6.2,0.0,0.0,0.8,0.0,0.0,0.0,10.3,270.41,4.1,0.0
1970,Chhattisgarh,Bastar,437.7,316.8,723.78,2.4,1.9,791.67,5.2,5.2,0.0,0.0,2.9,25.4,36.1,1421.26,0.0,0.3,5.5,0.0,0.0,0.9,0.0,0.0,0.0,9.7,240.69,3.8,0.0
1971,Chhattisgarh,Bastar,445.6,366.6,822.71,2.5,1.5,600.0,4.1,4.1,0.0,0.0,3.0,26.8,35.1,1309.7,0.0,0.3,7.0,0.0,0.0,0.9,0.0,0.0,0.0,12.6,296.47,3.8,0.0
1972,Chhattisgarh,Bastar,443.1,285.8,645.0,2.7,1.7,629.63,5.2,5.2,0.0,0.0,2.8,26.8,37.1,1384.33,0.0,0.4,9.5,0.0,0.0,0.9,0.0,0.0,0.0,14.1,327.15,3.7,0.0
1973,Chhattisgarh,Bastar,450.5,364.3,808.66,2.6,1.9,730.77,6.9,6.9,0.0,0.0,3.0,27.4,39.4,1437.96,0.0,0.4,11.0,0.0,0.0,1.3,0.0,0.0,0.0,16.8,341.46,4.0,0.0
1974,Chhattisgarh,Bastar,451.6,302.9,670.73,2.4,2.0,833.33,5.8,5.8,0.0,0.0,2.7,28.2,34.6,1226.95,0.0,0.4,10.7,0.0,0.0,0.7,0.0,0.0,0.0,15.9,316.73,3.7,0.0
1975,Chhattisgarh,Bastar,458.3,407.9,890.03,3.7,2.9,783.78,7.9,7.9,0.0,0.0,3.5,29.4,34.8,1183.67,0.0,0.4,12.3,0.0,0.0,1.3,0.0,0.0,0.0,17.8,333.96,3.7,0.0
1976,Chhattisgarh,Bastar,459.6,296.1,644.26,3.3,2.2,666.67,4.7,4.7,0.0,0.0,2.0,28.7,32.6,1135.89,0.0,0.2,2.4,0.0,0.0,0.5,0.0,0.0,0.0,5.2,139.41,2.9,0.0
1977,Chhattisgarh,Bastar,473.4,430.4,909.17,3.3,2.6,787.88,6.0,6.0,0.0,0.0,2.6,29.3,29.2,996.59,0.0,0.2,4.7,0.0,0.0,1.2,0.0,0.0,0.0,10.6,239.82,2.5,0.0
1978,Chhattisgarh,Bastar,490.4,402.2,820.15,3.0,2.8,933.33,6.3,6.3,0.0,0.0,2.9,27.6,30.2,1094.2,0.0,0.1,7.1,0.0,0.0,1.4,0.0,0.0,0.0,11.8,263.39,2.8,0.0
1979,Chhattisgarh,Bastar,497.5,309.2,621.51,3.0,2.4,800.0,8.3,8.3,0.0,0.0,3.2,27.0,39.4,1459.26,0.0,0.1,4.7,0.0,0.0,0.9,0.0,0.0,0.0,8.8,213.08,1.7,0.0
1980,Chhattisgarh,Bastar,519.4,391.8,754.33,2.9,3.1,1068.97,8.1,8.1,0.0,0.0,3.1,28.0,30.3,1082.14,0.0,0.1,8.0,0.0,0.0,0.8,0.0,0.0,0.0,9.8,261.33,1.7,0.0
1981,Chhattisgarh,Bastar,523.5,389.3,743.65,3.0,3.3,1100.0,8.2,8.2,0.0,0.0,3.0,27.0,29.4,1088.89,0.0,0.2,7.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,284.97,2.1,0.0
1982,Chhattisgarh,Bastar,527.7,372.4,705.7,3.2,3.9,1218.75,5.5,5.5,0.0,0.0,3.5,28.0,36.7,1310.71,0.0,0.1,6.3,0.0,0.0,0.8,0.0,0.1,500.0,11.7,280.58,2.1,0.0
1983,Chhattisgarh,Bastar,538.0,408.0,758.36,2.9,2.7,931.03,9.4,9.4,0.0,0.0,3.5,29.0,39.0,1344.83,0.0,0.1,7.6,0.0,0.0,1.0,0.0,0.2,666.67,13.5,310.34,2.8,0.0
1984,Chhattisgarh,Bastar,533.4,395.6,741.66,2.8,3.0,1071.43,10.1,10.1,0.0,0.0,2.8,28.8,42.8,1486.11,0.0,0.4,7.5,0.0,0.0,1.0,0.0,0.1,500.0,12.5,286.04,2.6,0.0
1985,Chhattisgarh,Bastar,555.4,834.3,1502.16,2.6,2.6,1000.0,9.8,9.8,0.0,0.0,3.1,28.7,32.4,1128.92,0.0,0.3,6.7,0.0,0.0,0.9,0.0,0.1,500.0,12.3,270.93,0.6,0.0
1986,Chhattisgarh,Bastar,556.0,403.0,724.82,3.0,3.0,1000.0,8.0,8.0,0.0,0.0,3.0,28.0,34.0,1214.29,0.0,0.2,6.0,0.0,0.0,1.1,0.0,0.1,500.0,11.1,251.7,1.4,0.0
1987,Chhattisgarh,Bastar,555.0,382.0,688.29,3.0,2.0,666.67,9.1,9.1,0.0,0.0,3.0,28.0,34.0,1214.29,0.0,0.4,9.3,0.0,0.0,1.0,0.0,0.1,500.0,14.5,322.22,0.4,0.0
1988,Chhattisgarh,Bastar,572.8,553.2,965.78,2.8,3.0,1071.43,8.6,8.6,0.0,0.0,3.2,28.6,40.9,1430.07,0.1,0.5,9.9,0.0,0.0,0.9,0.0,0.1,500.0,14.8,329.62,0.6,0.0
1989,Chhattisgarh,Bastar,571.7,544.7,952.77,2.6,2.7,1038.46,9.1,9.1,0.0,0.0,3.1,28.4,54.7,1926.06,0.0,0.8,8.9,0.0,0.0,0.7,0.0,0.1,1000.0,14.0,316.74,0.7,0.0
1990,Chhattisgarh,Bastar,579.0,561.9,970.47,2.0,2.4,1200.0,7.8,5.5,2.3,0.0,0.0,27.5,40.6,1476.36,0.0,0.5,9.78,0.0,0.0,0.7,0.0,0.04,800.0,15.0,343.25,1.1,0.0
1991,Chhattisgarh,Bastar,582.3,624.3,1072.13,2.2,3.0,1363.64,7.4,5.6,1.8,0.0,0.0,27.5,40.8,1483.64,0.0,0.4,10.52,0.0,0.0,0.8,0.01,0.02,1000.0,16.1,369.27,0.5,0.0
1992,Chhattisgarh,Bastar,584.4,533.3,912.56,1.6,2.0,1250.0,8.3,5.3,3.0,0.0,0.0,27.5,46.3,1683.64,0.0,0.5,6.37,0.0,0.0,0.6,0.02,0.87,925.53,11.7,288.18,1.3,0.0
1993,Chhattisgarh,Bastar,605.3,603.7,997.36,1.8,2.6,1444.44,9.4,6.0,3.4,0.0,0.0,27.2,43.9,1613.97,0.1,0.7,6.5,0.0,0.0,0.9,0.02,0.73,1057.97,12.6,298.58,0.9,0.0
1994,Chhattisgarh,Bastar,609.9,604.0,990.33,1.6,2.4,1500.0,6.2,4.6,1.6,0.0,0.0,25.5,32.2,1262.75,0.1,0.5,7.1,0.0,0.0,1.2,0.01,0.4,1000.0,13.1,313.4,0.9,0.0
1995,Chhattisgarh,Bastar,619.0,589.1,951.7,1.6,2.5,1562.5,7.7,5.4,2.3,0.0,0.0,24.7,41.6,1684.21,0.1,0.6,6.7,0.0,0.0,1.3,0.0,0.4,1333.33,13.4,322.89,1.1,0.0
1996,Chhattisgarh,Bastar,644.1,670.5,1040.99,2.0,3.3,1650.0,11.9,6.4,5.5,0.0,0.0,24.4,38.7,1586.07,0.1,0.7,7.3,0.0,0.0,1.4,0.0,0.3,1000.0,20.1,361.51,1.3,0.0
1997,Chhattisgarh,Bastar,622.8,455.0,730.57,1.4,2.2,1571.43,5.3,5.3,0.0,0.0,0.0,24.5,34.1,1391.84,0.1,0.6,5.5,0.0,0.0,1.2,0.0,0.1,500.0,11.6,296.15,1.0,0.0
1998,Chhattisgarh,Bastar,627.1,569.8,908.63,2.4,3.8,1583.33,12.7,10.3,2.4,0.0,0.0,37.1,56.8,1531.0,0.3,1.3,8.9,0.0,0.0,2.1,0.0,0.2,1000.0,16.7,319.31,1.2,0.0
1999,Chhattisgarh,Bastar,628.47,676.2,1075.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,25.0,46.6,1864.0,0.0,0.82,10.53,0.0,0.0,1.06,0.01,0.16,1000.0,3.62,397.8,1.35,0.0
2000,Chhattisgarh,Bastar,628.03,523.9,834.2,1.7,2.75,1617.65,3.44,3.44,0.0,0.0,1.78,24.71,38.35,1552.0,0.07,0.68,3.07,0.0,0.0,0.55,0.01,0.12,800.0,4.48,295.32,0.13,0.01
2001,Chhattisgarh,Bastar,633.99,922.15,1454.52,2.5,3.88,1552.0,5.23,5.23,0.0,0.0,2.34,25.06,23.68,944.93,0.06,0.9,3.41,0.0,0.0,0.89,0.06,0.11,1000.0,5.45,358.32,0.11,0.02
2002,Chhattisgarh,Bastar,623.9,331.38,531.14,2.09,3.76,1799.04,2.36,2.36,0.0,0.0,1.5,25.26,35.99,1424.78,0.1,0.84,1.66,0.0,0.0,0.29,0.02,0.08,727.27,2.95,260.6,0.09,0.01
2003,Chhattisgarh,Bastar,632.58,1042.75,1648.41,2.42,3.83,1582.64,3.96,3.96,0.0,0.0,2.31,29.48,45.98,1559.7,0.04,1.06,3.4,0.0,0.0,0.85,0.01,0.08,1142.86,5.68,209.36,0.14,0.0
2004,Chhattisgarh,Bastar,635.47,788.65,1241.05,2.17,3.21,1479.26,2.48,2.48,0.0,0.0,2.02,30.19,49.74,1647.57,0.04,1.08,3.03,0.0,0.01,0.8,0.01,0.07,1166.67,8.9,302.52,0.1,0.0
2005,Chhattisgarh,Bastar,635.47,788.65,1241.05,2.17,3.21,1479.26,2.48,2.48,0.0,0.0,2.02,30.19,49.74,1647.57,0.04,1.08,3.03,0.0,0.01,0.8,0.01,0.07,1166.67,8.39,289.31,0.1,0.0
2006,Chhattisgarh,Bastar,546.54,836.54,1530.61,1.92,3.2,1666.67,2.7,2.17,0.0,0.0,1.84,31.15,41.19,1322.31,0.04,1.01,1.89,0.0,0.0,0.66,0.02,0.05,833.33,7.0,242.47,0.14,0.0
2007,Chhattisgarh,Bastar,626.07,927.73,1481.83,1.68,3.31,1970.24,1.87,0.0,0.0,0.0,2.05,32.66,59.39,1818.43,0.06,1.06,2.84,0.0,0.0,0.66,0.01,0.06,1200.0,4.9,423.88,0.21,0.0
2008,Chhattisgarh,Bastar,627.78,729.33,1161.76,1.71,2.6,1520.47,1.7,0.0,0.0,0.0,1.95,33.41,53.87,1612.39,0.07,0.81,2.23,0.0,0.0,0.43,0.01,0.05,1666.67,3.73,344.73,0.22,0.0
2009,Chhattisgarh,Bastar,626.66,682.46,1089.04,1.64,2.95,1798.78,2.42,0.0,0.0,0.0,1.85,34.77,61.36,1764.74,0.03,1.23,2.88,0.0,0.0,0.43,0.01,0.03,1500.0,4.76,452.9,0.34,0.0
2010,Chhattisgarh,Bastar,621.89,1184.98,1905.45,1.6,3.2,2000.0,4.4,4.4,0.0,0.0,0.0,35.7,72.3,2025.21,0.0,1.01,2.6,0.0,0.0,0.7,0.02,0.0,0.0,7.35,303.34,0.12,0.0
2011,Chhattisgarh,Bastar,627.73,772.88,1231.23,1.33,2.49,1872.18,1.97,1.97,0.0,0.0,1.69,40.16,82.85,2063.0,0.01,1.27,2.9,0.0,0.0,0.52,0.01,0.03,1000.0,7.5,332.3,0.34,0.0
2012,Chhattisgarh,Bastar,637.8,1341.33,2103.06,1.25,2.47,1976.0,1.92,1.92,0.0,0.0,1.98,41.04,84.27,2053.36,0.03,0.85,2.93,0.0,0.0,0.56,0.01,0.04,1333.33,7.1,323.46,0.16,0.0
2013,Chhattisgarh,Bastar,642.79,1265.91,1969.4,0.97,1.75,1804.12,1.59,0.0,0.0,0.0,1.62,42.38,99.48,2347.33,0.05,0.56,2.9,0.0,0.0,0.52,0.0,0.01,1000.0,6.67,328.73,0.14,0.0
2014,Chhattisgarh,Bastar,646.7,1377.04,2129.33,0.81,1.86,2296.3,2.09,0.0,0.0,0.0,1.68,43.1,86.93,2016.94,0.04,1.15,2.82,0.0,0.0,0.48,0.01,0.03,1000.0,7.06,332.86,0.33,0.0
2015,Chhattisgarh,Bastar,644.56,664.46,1030.87,0.84,1.75,2083.33,1.52,0.0,0.0,0.0,1.26,41.36,88.98,2151.35,0.09,1.23,2.58,0.0,0.0,0.35,0.01,0.0,555.56,5.54,290.81,0.1,0.0
2016,Chhattisgarh,Bastar,656.26,1294.97,1973.24,0.67,1.53,2265.58,2.34,0.0,0.0,0.0,1.61,41.5,123.66,2979.5,0.12,1.4,2.0,0.0,0.0,0.0,0.0,0.01,1000.0,0.0,0.0,0.2,0.0
2017,Chhattisgarh,Bastar,660.36,801.82,1214.23,1.24,2.22,1783.13,1.79,0.0,0.0,0.0,1.44,41.94,120.22,2866.36,0.08,0.76,1.24,0.0,0.0,0.1,0.0,0.01,380.95,0.0,0.0,0.11,0.0
1966,Chhattisgarh,Raipur,717.0,469.0,654.11,6.0,2.0,333.33,0.5,0.5,0.0,0.0,0.3,1.0,1.0,1000.0,5.0,0.7,0.0,0.0,0.0,1.2,0.0,0.0,0.0,-1.0,-1.0,2.7,0.0
1967,Chhattisgarh,Raipur,726.0,625.0,860.88,9.0,4.0,444.44,0.5,0.5,0.0,0.0,0.4,1.0,1.0,1000.0,9.8,0.7,0.1,0.0,0.0,5.3,0.0,0.0,0.0,-1.0,-1.0,3.3,0.0
1968,Chhattisgarh,Raipur,731.5,630.0,861.24,9.5,4.0,421.05,0.5,0.5,0.0,0.0,0.5,1.0,1.0,1000.0,6.0,1.4,0.1,0.0,0.0,6.2,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0
